Rank,Event ID,Raw Score,Final Score,Event Type,Price ($),Distance (km),Date/Time,description,location,source,type,currencyCode,url
1,937,9738.85,9738.85,Festivals,85.83,11.72,2024-11-24 11:45:54.184153,,"79.7115, 88.392387",MockSource,Festivals,USD,https://placeholder.url
2,805,8906.34,8906.34,Festivals,120.01,13.29,2024-11-23 23:15:54.181180,,"78.729543, -151.605717",MockSource,Festivals,USD,https://placeholder.url
3,212,8478.23,8478.23,Festivals,114.86,8.89,2024-11-23 12:30:54.171103,,"-56.726545, -166.815343",MockSource,Festivals,USD,https://placeholder.url
4,110,8288.11,8288.11,Festivals,137.63,1.95,2024-11-23 21:00:54.169103,,"17.462822, 77.906247",MockSource,Festivals,USD,https://placeholder.url
5,145,7735.27,7735.27,Workshops,31.04,3.97,2024-11-24 08:45:54.170103,,"53.586138, 176.176021",MockSource,Workshops,USD,https://placeholder.url
6,924,7720.47,7720.47,Exhibitions,93.31,1.95,2024-11-24 09:45:54.183144,,"-20.034568, 154.183845",MockSource,Exhibitions,USD,https://placeholder.url
7,734,7711.22,7711.22,Pets,40.64,1.93,2024-11-24 10:15:54.180165,,"-6.039296, 63.674641",MockSource,Pets,USD,https://placeholder.url
8,722,7594.21,7594.21,Nightlife,97.55,3.05,2024-11-22 21:15:54.180165,,"74.562803, 98.013238",MockSource,Nightlife,USD,https://placeholder.url
9,103,7578.38,7578.38,Theater,43.27,1.58,2024-11-23 22:00:54.169103,,"-23.602855, 158.916013",MockSource,Theater,USD,https://placeholder.url
10,503,7569.21,7569.21,Sports,49.06,1.78,2024-11-22 20:45:54.176103,,"-89.153199, -145.583019",MockSource,Sports,USD,https://placeholder.url
11,382,7556.71,7556.71,Family,52.5,4.15,2024-11-22 20:30:54.173103,,"-51.909229, 43.918536",MockSource,Family,USD,https://placeholder.url
12,800,7519.21,7519.21,Charity,34.9,1.0,2024-11-22 19:45:54.181180,,"88.019228, 172.341581",MockSource,Charity,USD,https://placeholder.url
13,480,7493.07,7493.07,Virtual,39.6,7.82,2024-11-23 22:45:54.175103,,"-25.27338, 135.131505",MockSource,Virtual,USD,https://placeholder.url
14,360,7491.95,7491.95,Holiday,86.14,7.9,2024-11-22 21:30:54.173103,,"-47.99525, 84.463988",MockSource,Holiday,USD,https://placeholder.url
15,602,7451.15,7451.15,Outdoors,32.55,15.06,2024-11-24 10:30:54.177139,,"3.812442, 78.502028",MockSource,Outdoors,USD,https://placeholder.url
16,864,7448.28,7448.28,Wellness,66.96,8.88,2024-11-22 21:00:54.182140,,"83.710538, -108.661185",MockSource,Wellness,USD,https://placeholder.url
17,713,7445.88,7445.88,Wellness,40.0,13.6,2024-11-22 22:45:54.180165,,"-16.182706, -71.283439",MockSource,Wellness,USD,https://placeholder.url
18,632,7416.87,7416.87,Exhibitions,85.44,14.77,2024-11-24 12:15:54.178154,,"53.35316, 97.630824",MockSource,Exhibitions,USD,https://placeholder.url
19,486,7409.45,7409.45,Wellness,48.25,8.95,2024-11-22 20:15:54.175103,,"40.267213, -133.315905",MockSource,Wellness,USD,https://placeholder.url
20,919,7400.68,7400.68,Charity,48.11,14.66,2024-11-22 22:15:54.183144,,"62.730153, 112.929445",MockSource,Charity,USD,https://placeholder.url
21,594,7396.16,7396.16,Family,77.56,5.71,2024-11-22 18:45:54.177139,,"-27.070596, -121.56674",MockSource,Family,USD,https://placeholder.url
22,808,7391.85,7391.85,Networking,86.62,7.86,2024-11-23 20:15:54.181180,,"86.620671, -101.210574",MockSource,Networking,USD,https://placeholder.url
23,980,7381.92,7381.92,Holiday,90.65,7.77,2024-11-22 19:15:54.184153,,"80.413729, 21.217329",MockSource,Holiday,USD,https://placeholder.url
24,10,7375.34,7375.34,Outdoors,33.36,4.21,2024-11-23 17:30:54.167103,,"76.977213, 103.946924",MockSource,Outdoors,USD,https://placeholder.url
25,21,7350.01,7350.01,Family,68.85,1.01,2024-11-23 17:00:54.168103,,"-37.739738, -110.801889",MockSource,Family,USD,https://placeholder.url
26,320,7348.73,7348.73,Science,32.66,8.2,2024-11-22 18:45:54.172103,,"70.527431, -138.621127",MockSource,Science,USD,https://placeholder.url
27,266,7335.27,7335.27,Music,87.27,16.8,2024-11-24 08:45:54.171103,,"47.482022, 125.460178",MockSource,Music,USD,https://placeholder.url
28,600,7298.0,7298.0,Music,76.13,12.16,2024-11-24 16:45:54.177139,,"77.117304, 127.450272",MockSource,Music,USD,https://placeholder.url
29,369,7285.2,7285.2,Film,35.29,2.74,2024-11-23 15:45:54.173103,,"89.814223, 19.345708",MockSource,Film,USD,https://placeholder.url
30,932,7273.85,7273.85,Family,77.53,14.1,2024-11-22 19:30:54.184153,,"7.464046, -150.053483",MockSource,Family,USD,https://placeholder.url
31,454,7268.56,7268.56,Networking,65.02,14.29,2024-11-24 16:30:54.175103,,"-10.786335, 2.719425",MockSource,Networking,USD,https://placeholder.url
32,475,7260.14,7260.14,Wellness,55.71,16.74,2024-11-24 12:30:54.175103,,"-63.33772, 66.793675",MockSource,Wellness,USD,https://placeholder.url
33,335,7232.99,7232.99,Wellness,69.0,16.88,2024-11-24 13:00:54.173103,,"-37.611425, -110.901243",MockSource,Wellness,USD,https://placeholder.url
34,316,7222.23,7222.23,Virtual,27.52,0.82,2024-11-23 22:30:54.172103,,"-53.053469, -118.150097",MockSource,Virtual,USD,https://placeholder.url
35,994,7198.48753343343,7198.48753343343,Festivals,64.57,13.75,2024-11-30 13:45:54.185136,,"-69.818498, 148.887268",MockSource,Festivals,USD,https://placeholder.url
36,178,7177.65,7177.65,Gaming,40.1,16.45,2024-11-23 21:15:54.170103,,"-4.635839, 176.122269",MockSource,Gaming,USD,https://placeholder.url
37,156,7159.01,7159.01,Holiday,24.63,10.63,2024-11-24 10:45:54.170103,,"2.792351, 83.714415",MockSource,Holiday,USD,https://placeholder.url
38,732,7139.54,7139.54,Charity,31.38,4.64,2024-11-23 14:00:54.180165,,"-53.47239, -161.086162",MockSource,Charity,USD,https://placeholder.url
39,349,7098.49,7098.49,Family,49.46,1.57,2024-11-23 12:15:54.173103,,"-86.419888, 128.761353",MockSource,Family,USD,https://placeholder.url
40,651,7049.04,7049.04,Outdoors,25.03,4.95,2024-11-24 17:00:54.178154,,"-36.906004, 123.9883",MockSource,Outdoors,USD,https://placeholder.url
41,574,7032.21,7032.21,Film,32.2,3.82,2024-11-23 11:00:54.177139,,"86.835412, 108.303249",MockSource,Film,USD,https://placeholder.url
42,831,7015.29,7015.29,Outdoors,23.59,10.18,2024-11-23 21:15:54.182140,,"33.574821, -44.838077",MockSource,Outdoors,USD,https://placeholder.url
