Event ID,Event Type,description,location,source,type,currencyCode,Price ($),url,Distance (km)
957,Festivals,,"-11.181228, -127.184835",MockSource,Festivals,USD,100.36,https://placeholder.url,14.36
817,Festivals,,"-41.685455, -163.440413",MockSource,Festivals,USD,119.62,https://placeholder.url,15.99
750,Festivals,,"-16.185077, -122.559896",MockSource,Festivals,USD,126.15,https://placeholder.url,12.52
855,Festivals,,"69.449091, 163.519951",MockSource,Festivals,USD,55.19,https://placeholder.url,12.88
585,Festivals,,"1.999964, -131.461095",MockSource,Festivals,USD,106.09,https://placeholder.url,0.48
31,Theater,,"67.700283, -151.557223",MockSource,Theater,USD,39.7,https://placeholder.url,4.63
28,Nightlife,,"22.556986, -120.64572",MockSource,Nightlife,USD,39.34,https://placeholder.url,12.69
772,Music,,"51.827627, -48.517326",MockSource,Music,USD,35.18,https://placeholder.url,5.27
58,Networking,,"-14.224141, -109.046939",MockSource,Networking,USD,35.82,https://placeholder.url,0.95
670,Outdoors,,"-86.963308, -60.00377",MockSource,Outdoors,USD,88.1,https://placeholder.url,5.61
38,Holiday,,"-84.376985, -87.434327",MockSource,Holiday,USD,55.33,https://placeholder.url,3.54
653,Film,,"31.511022, -57.673797",MockSource,Film,USD,36.5,https://placeholder.url,6.57
705,Outdoors,,"-29.379189, -143.351021",MockSource,Outdoors,USD,69.65,https://placeholder.url,14.61
137,Charity,,"-76.354545, 14.389944",MockSource,Charity,USD,47.29,https://placeholder.url,3.88
113,Wellness,,"54.774012, -2.215052",MockSource,Wellness,USD,73.86,https://placeholder.url,15.83
962,Nightlife,,"-3.46381, -41.045008",MockSource,Nightlife,USD,91.24,https://placeholder.url,0.68
117,Theater,,"-89.309147, -126.11654",MockSource,Theater,USD,33.85,https://placeholder.url,2.98
241,Science,,"-8.419127, 146.563264",MockSource,Science,USD,88.59,https://placeholder.url,12.0
939,Exhibitions,,"84.721036, -129.54176",MockSource,Exhibitions,USD,77.61,https://placeholder.url,3.88
473,Exhibitions,,"-47.107526, -168.788974",MockSource,Exhibitions,USD,49.68,https://placeholder.url,16.74
369,Holiday,,"80.381838, 143.831692",MockSource,Holiday,USD,67.0,https://placeholder.url,17.19
645,Exhibitions,,"-43.70989, -14.618725",MockSource,Exhibitions,USD,91.21,https://placeholder.url,7.17
865,Sports,,"-34.252415, 90.745199",MockSource,Sports,USD,75.83,https://placeholder.url,3.59
280,Theater,,"-83.356822, -26.319035",MockSource,Theater,USD,65.72,https://placeholder.url,5.7
697,Holiday,,"5.404359, 161.266209",MockSource,Holiday,USD,85.8,https://placeholder.url,12.6
681,Festivals,,"-87.195276, -42.372054",MockSource,Festivals,USD,66.34,https://placeholder.url,20.06
307,Family,,"36.709031, -38.904892",MockSource,Family,USD,45.78,https://placeholder.url,8.53
223,Theater,,"-81.102982, -167.772191",MockSource,Theater,USD,52.25,https://placeholder.url,15.11
44,Nightlife,,"-89.202598, -16.641481",MockSource,Nightlife,USD,74.99,https://placeholder.url,9.38
663,Holiday,,"-55.985873, -65.413312",MockSource,Holiday,USD,22.88,https://placeholder.url,0.2
77,Sports,,"-57.469517, 140.558332",MockSource,Sports,USD,37.93,https://placeholder.url,0.03
758,Science,,"11.317367, 13.89639",MockSource,Science,USD,82.15,https://placeholder.url,11.61
410,Exhibitions,,"-43.001431, -58.343352",MockSource,Exhibitions,USD,84.08,https://placeholder.url,5.1
47,Theater,,"-80.016805, 12.550898",MockSource,Theater,USD,32.22,https://placeholder.url,15.31
843,Sports,,"-66.06865, 13.822583",MockSource,Sports,USD,52.51,https://placeholder.url,17.88
305,Film,,"-37.69337, 126.312452",MockSource,Film,USD,27.04,https://placeholder.url,1.73
722,Film,,"4.198824, 154.036254",MockSource,Film,USD,27.01,https://placeholder.url,0.38
225,Wellness,,"-81.760528, 71.38648",MockSource,Wellness,USD,63.08,https://placeholder.url,11.56
290,Wellness,,"31.901241, 107.286241",MockSource,Wellness,USD,26.6,https://placeholder.url,2.78
981,Networking,,"-17.042518, -124.42583",MockSource,Networking,USD,25.98,https://placeholder.url,8.17
777,Science,,"51.309035, 58.510423",MockSource,Science,USD,79.1,https://placeholder.url,11.92
542,Science,,"-33.125026, -4.023426",MockSource,Science,USD,68.04,https://placeholder.url,10.29
221,Workshops,,"-16.264891, 27.617601",MockSource,Workshops,USD,31.89,https://placeholder.url,16.32
526,Theater,,"-64.43271, -58.845336",MockSource,Theater,USD,58.51,https://placeholder.url,13.21
872,Festivals,,"-15.672754, 108.036392",MockSource,Festivals,USD,140.63,https://placeholder.url,0.56
