contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Theater,,"37.961835, 13.042111",2024-12-01T23:15:05.796015Z,MockSource,Theater,USD,137.95,https://placeholder.url,56.95
2,Holiday,,"61.551123, -174.181713",2024-11-25T15:15:05.796996Z,MockSource,Holiday,USD,50.6,https://placeholder.url,6.95
3,Pets,,"-57.899778, 68.654643",2024-12-04T19:15:05.796996Z,MockSource,Pets,USD,32.62,https://placeholder.url,65.09
4,Community,,"42.195483, -74.953177",2024-11-23T20:15:05.796996Z,MockSource,Community,USD,8.49,https://placeholder.url,96.65
5,Outdoors,,"-66.209541, 131.582473",2024-11-30T17:45:05.796996Z,MockSource,Outdoors,USD,49.68,https://placeholder.url,62.19
6,Outdoors,,"-52.48664, -138.574989",2024-12-20T11:30:05.796996Z,MockSource,Outdoors,USD,39.39,https://placeholder.url,42.91
7,Exhibitions,,"6.194777, 47.912157",2024-11-24T22:30:05.796996Z,MockSource,Exhibitions,USD,1.61,https://placeholder.url,39.85
8,Virtual,,"82.509889, 28.33322",2024-11-29T22:15:05.796996Z,MockSource,Virtual,USD,44.38,https://placeholder.url,44.41
9,Theater,,"-43.798897, 22.850901",2024-11-23T08:45:05.796996Z,MockSource,Theater,USD,114.21,https://placeholder.url,25.12
10,Festivals,,"18.620651, -68.317158",2024-11-23T20:45:05.796996Z,MockSource,Festivals,USD,85.37,https://placeholder.url,67.02
11,Community,,"29.243444, 97.506478",2024-11-23T12:15:05.796996Z,MockSource,Community,USD,0.42,https://placeholder.url,35.88
12,Theater,,"-44.66538, 133.775851",2025-01-13T12:30:05.796996Z,MockSource,Theater,USD,56.97,https://placeholder.url,82.06
13,Sports,,"-75.070093, 111.545497",2024-11-23T09:00:05.796996Z,MockSource,Sports,USD,106.62,https://placeholder.url,35.24
14,Gaming,,"-50.022049, -19.697522",2024-12-06T17:45:05.796996Z,MockSource,Gaming,USD,59.78,https://placeholder.url,27.85
15,Science,,"82.126275, -156.647896",2024-12-25T22:15:05.796996Z,MockSource,Science,USD,88.05,https://placeholder.url,28.54
16,Family,,"-1.610398, -4.882472",2024-12-09T21:45:05.796996Z,MockSource,Family,USD,22.59,https://placeholder.url,80.3
17,Charity,,"-6.304236, 108.828967",2024-11-27T21:30:05.796996Z,MockSource,Charity,USD,21.73,https://placeholder.url,55.97
18,Festivals,,"-73.612198, -141.348384",2024-11-25T16:45:05.796996Z,MockSource,Festivals,USD,83.16,https://placeholder.url,6.35
