contentId,title,description,location,source,type,currencyCode,amount,url,distance
719,Festivals,,"22.689498, 50.624848",MockSource,Festivals,USD,75.88,https://placeholder.url,1.27
890,Festivals,,"-21.277386, -140.62806",MockSource,Festivals,USD,104.65,https://placeholder.url,2.08
35,Nightlife,,"-29.818358, 137.487806",MockSource,Nightlife,USD,77.08,https://placeholder.url,2.18
616,Workshops,,"69.496935, -39.08368",MockSource,Workshops,USD,38.59,https://placeholder.url,6.48
825,Workshops,,"-19.609162, -99.637046",MockSource,Workshops,USD,47.3,https://placeholder.url,11.01
664,Nightlife,,"-87.906837, 101.841014",MockSource,Nightlife,USD,78.11,https://placeholder.url,15.32
114,Sports,,"-56.056629, 177.239296",MockSource,Sports,USD,59.69,https://placeholder.url,6.21
375,Workshops,,"-37.197661, -31.023652",MockSource,Workshops,USD,34.06,https://placeholder.url,11.03
977,Gaming,,"-68.860545, -14.50863",MockSource,Gaming,USD,46.6,https://placeholder.url,0.71
190,Pets,,"-10.632385, 21.375753",MockSource,Pets,USD,38.79,https://placeholder.url,14.58
420,Wellness,,"-89.670737, -128.37753",MockSource,Wellness,USD,41.75,https://placeholder.url,1.69
153,Sports,,"36.988078, -72.170533",MockSource,Sports,USD,89.1,https://placeholder.url,10.12
876,Outdoors,,"27.421876, 0.258373",MockSource,Outdoors,USD,93.92,https://placeholder.url,3.16
185,Theater,,"-29.409165, 92.377986",MockSource,Theater,USD,99.52,https://placeholder.url,4.27
840,Outdoors,,"-47.504734, 70.454914",MockSource,Outdoors,USD,64.07,https://placeholder.url,4.64
900,Networking,,"-39.076665, -160.881824",MockSource,Networking,USD,71.79,https://placeholder.url,17.61
880,Exhibitions,,"5.384799, 98.44693",MockSource,Exhibitions,USD,34.1,https://placeholder.url,11.27
32,Nightlife,,"-24.10474, -80.495298",MockSource,Nightlife,USD,39.37,https://placeholder.url,14.48
727,Nightlife,,"30.605514, -172.873952",MockSource,Nightlife,USD,22.23,https://placeholder.url,6.74
146,Gaming,,"-10.192563, -144.896828",MockSource,Gaming,USD,46.76,https://placeholder.url,2.67
953,Gaming,,"18.312954, 129.112316",MockSource,Gaming,USD,13.87,https://placeholder.url,3.53
471,Festivals,,"-30.338462, -113.482669",MockSource,Festivals,USD,135.01,https://placeholder.url,4.78
788,Community,,"85.588438, 130.144075",MockSource,Community,USD,2.45,https://placeholder.url,1.99
845,Festivals,,"37.650239, -11.852379",MockSource,Festivals,USD,119.81,https://placeholder.url,2.91
492,Exhibitions,,"54.557637, 129.768401",MockSource,Exhibitions,USD,70.34,https://placeholder.url,14.39
517,Festivals,,"60.047536, 20.663268",MockSource,Festivals,USD,142.48,https://placeholder.url,13.41
48,Networking,,"-57.596167, -123.233712",MockSource,Networking,USD,90.41,https://placeholder.url,6.71
827,Music,,"18.457554, 147.84996",MockSource,Music,USD,113.53,https://placeholder.url,10.75
741,Holiday,,"-47.850994, 84.156667",MockSource,Holiday,USD,0.01,https://placeholder.url,9.47
544,Nightlife,,"49.045684, 67.110086",MockSource,Nightlife,USD,30.68,https://placeholder.url,6.84
412,Virtual,,"85.297606, -101.642097",MockSource,Virtual,USD,21.05,https://placeholder.url,5.07
144,Virtual,,"-3.612645, -5.443845",MockSource,Virtual,USD,20.9,https://placeholder.url,7.44
456,Science,,"-36.294704, -145.335907",MockSource,Science,USD,21.13,https://placeholder.url,8.22
601,Workshops,,"55.784846, -165.438953",MockSource,Workshops,USD,19.33,https://placeholder.url,12.72
145,Virtual,,"75.55822, 128.346874",MockSource,Virtual,USD,8.65,https://placeholder.url,10.47
388,Outdoors,,"-10.605217, -104.792307",MockSource,Outdoors,USD,86.47,https://placeholder.url,2.64
587,Virtual,,"16.335266, 59.949594",MockSource,Virtual,USD,7.86,https://placeholder.url,14.6
106,Science,,"24.398734, 121.066558",MockSource,Science,USD,26.39,https://placeholder.url,9.2
854,Charity,,"-19.498407, 120.660309",MockSource,Charity,USD,42.03,https://placeholder.url,1.84
295,Virtual,,"-80.777198, 137.26575",MockSource,Virtual,USD,4.56,https://placeholder.url,3.34
557,Music,,"40.551036, -39.953895",MockSource,Music,USD,80.89,https://placeholder.url,0.42
287,Film,,"-10.617208, 136.541891",MockSource,Film,USD,18.22,https://placeholder.url,12.54
430,Community,,"56.886276, -80.394562",MockSource,Community,USD,11.36,https://placeholder.url,3.53
