Rank,Event ID,Raw Score,Final Score,Event Type,Price ($),Distance (km),Date/Time,description,location,source,type,currencyCode,url
1,200,90.05,90.05,community,11.06,0.21,2024-11-23 17:45:54.170103,,"-82.275259, 72.017949",MockSource,Community,USD,https://placeholder.url
2,503,89.06,89.06,sport,49.06,1.78,2024-11-22 20:45:54.176103,,"-89.153199, -145.583019",MockSource,Sports,USD,https://placeholder.url
3,56,83.95,83.95,sport,176.8,2.46,2024-11-27 17:45:54.168103,,"-68.760182, -49.275115",MockSource,Sports,USD,https://placeholder.url
4,959,82.07,82.07,community,13.81,4.74,2024-11-22 10:30:54.184153,,"34.490465, -86.719298",MockSource,Community,USD,https://placeholder.url
5,4,76.55,76.55,gaming,16.63,2.28,2024-11-27 15:45:54.167103,,"-0.974403, -134.609104",MockSource,Gaming,USD,https://placeholder.url
6,844,76.17,76.17,theater,117.96,2.09,2024-11-23 12:00:54.182140,,"23.757347, -34.519152",MockSource,Theater,USD,https://placeholder.url
7,587,75.89,75.89,gaming,25.31,3.45,2024-11-26 20:00:54.177139,,"-81.049615, 139.158508",MockSource,Gaming,USD,https://placeholder.url
8,110,72.73,72.73,festival,137.63,1.95,2024-11-23 21:00:54.169103,,"17.462822, 77.906247",MockSource,Festivals,USD,https://placeholder.url
9,425,72.61,72.61,theater,147.58,3.04,2024-11-23 20:00:54.174103,,"21.198265, -113.673609",MockSource,Theater,USD,https://placeholder.url
10,144,72.42,72.42,festival,184.81,4.01,2024-11-23 19:15:54.170103,,"-63.043539, -130.668033",MockSource,Festivals,USD,https://placeholder.url
11,922,71.94,71.94,conference,173.28,1.51,2024-11-23 23:00:54.183144,,"22.070961, 84.379684",MockSource,Conferences,USD,https://placeholder.url
12,787,69.95,69.95,outdoor,21.46,0.99,2024-11-23 09:00:54.181180,,"46.66879, 24.818322",MockSource,Outdoors,USD,https://placeholder.url
13,349,68.91,68.91,family,49.46,1.57,2024-11-23 12:15:54.173103,,"-86.419888, 128.761353",MockSource,Family,USD,https://placeholder.url
14,207,68.63,68.63,festival,175.2,4.75,2024-11-22 13:30:54.171103,,"-51.127275, -137.788128",MockSource,Festivals,USD,https://placeholder.url
15,574,67.88,67.88,film,32.2,3.82,2024-11-23 11:00:54.177139,,"86.835412, 108.303249",MockSource,Film,USD,https://placeholder.url
16,21,67.87,67.87,family,68.85,1.01,2024-11-23 17:00:54.168103,,"-37.739738, -110.801889",MockSource,Family,USD,https://placeholder.url
17,369,67.16,67.16,film,35.29,2.74,2024-11-23 15:45:54.173103,,"89.814223, 19.345708",MockSource,Film,USD,https://placeholder.url
18,800,66.75,66.75,charity,34.9,1.0,2024-11-22 19:45:54.181180,,"88.019228, 172.341581",MockSource,Charity,USD,https://placeholder.url
19,732,66.68,66.68,charity,31.38,4.64,2024-11-23 14:00:54.180165,,"-53.47239, -161.086162",MockSource,Charity,USD,https://placeholder.url
20,594,65.73,65.73,family,77.56,5.71,2024-11-22 18:45:54.177139,,"-27.070596, -121.56674",MockSource,Family,USD,https://placeholder.url
21,761,65.61,65.61,charity,7.31,0.88,2024-11-22 17:30:54.180165,,"71.758952, -125.727613",MockSource,Charity,USD,https://placeholder.url
22,10,65.61,65.61,outdoor,33.36,4.21,2024-11-23 17:30:54.167103,,"76.977213, 103.946924",MockSource,Outdoors,USD,https://placeholder.url
23,485,65.35,65.35,virtual,5.91,0.06,2024-11-22 17:00:54.175103,,"61.614706, -5.484569",MockSource,Virtual,USD,https://placeholder.url
24,316,65.21,65.21,virtual,27.52,0.82,2024-11-23 22:30:54.172103,,"-53.053469, -118.150097",MockSource,Virtual,USD,https://placeholder.url
25,382,65.09,65.09,family,52.5,4.15,2024-11-22 20:30:54.173103,,"-51.909229, 43.918536",MockSource,Family,USD,https://placeholder.url
26,103,64.93,64.93,theater,43.27,1.58,2024-11-23 22:00:54.169103,,"-23.602855, 158.916013",MockSource,Theater,USD,https://placeholder.url
27,320,62.6,62.6,science,32.66,8.2,2024-11-22 18:45:54.172103,,"70.527431, -138.621127",MockSource,Science,USD,https://placeholder.url
28,186,62.33,62.33,charity,28.02,4.29,2024-11-22 15:15:54.170103,,"37.033224, -50.245227",MockSource,Charity,USD,https://placeholder.url
29,776,60.504,60.504,gaming,25.79,8.57,2024-11-22 15:30:54.181180,,"11.086751, -61.958466",MockSource,Gaming,USD,https://placeholder.url
30,734,58.63,58.63,pet,40.64,1.93,2024-11-24 10:15:54.180165,,"-6.039296, 63.674641",MockSource,Pets,USD,https://placeholder.url
31,488,58.624,58.624,sport,170.99,85.91,2024-11-22 23:15:54.175103,,"-14.294265, 32.723282",MockSource,Sports,USD,https://placeholder.url
32,579,58.59,58.59,wellne,54.57,5.64,2024-11-22 12:00:54.177139,,"67.115555, 55.038639",MockSource,Wellness,USD,https://placeholder.url
33,280,58.47200000000001,58.47200000000001,sport,226.41,29.74,2024-11-22 22:45:54.172103,,"-67.321447, 58.450672",MockSource,Sports,USD,https://placeholder.url
34,52,58.128,58.128,sport,115.6,10.56,2024-11-23 17:30:54.168103,,"-20.397408, 35.951536",MockSource,Sports,USD,https://placeholder.url
35,145,58.1,58.1,workshop,31.04,3.97,2024-11-24 08:45:54.170103,,"53.586138, 176.176021",MockSource,Workshops,USD,https://placeholder.url
36,585,57.304,57.304,sport,161.69,94.89,2024-11-22 19:30:54.177139,,"-82.17991, 27.486205",MockSource,Sports,USD,https://placeholder.url
37,973,57.3,57.3,conference,435.8,5.67,2024-11-23 14:00:54.184153,,"85.922104, -39.714597",MockSource,Conferences,USD,https://placeholder.url
38,423,56.728,56.728,theater,101.16,6.46,2024-11-23 11:45:54.174103,,"33.390637, 136.864991",MockSource,Theater,USD,https://placeholder.url
39,444,55.848000000000006,55.848000000000006,sport,129.73,94.34,2024-11-23 23:15:54.174103,,"30.874834, -17.996124",MockSource,Sports,USD,https://placeholder.url
40,211,55.624,55.624,science,79.0,33.23,2024-11-23 16:00:54.171103,,"-1.876124, -26.340173",MockSource,Science,USD,https://placeholder.url
41,717,55.47200000000001,55.47200000000001,science,73.89,42.92,2024-11-22 22:45:54.180165,,"41.352164, 33.518364",MockSource,Science,USD,https://placeholder.url
